first_air_date,id,name,origin_country,original_language,overview,poster_path,vote_average,genre_1,genre_2
2003-11-02,4589,Arrested Development,['US'],en,"The story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.",https://image.tmdb.org/t/p/original/qMzwO952hMWQSCfHkp7IL20s4K7.jpg,8.0,35,
2011-10-28,39351,Grimm,['US'],en,"After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.",https://image.tmdb.org/t/p/original/iOptnt1QHi6bIHmOq6adnZTV0bU.jpg,8.3,18,9648
2007-09-19,1395,Gossip Girl,['US'],en,An exclusive group of privileged teens from a posh prep school on Manhattan's Upper East Side whose lives revolve around the blog of the all-knowing albeit ultra-secretive Gossip Girl.,https://image.tmdb.org/t/p/original/hvDlmhoImfX5oUYS2gXxsMrpSTB.jpg,8.3,18,9648
2007-02-05,2755,Rules of Engagement,['US'],en,"Rules of Engagement is a comedy about the different phases of male/female relationships, as seen through the eyes of a newly engaged couple, Adam and Jennifer, a long-time married pair, Jeff and Audrey, and a single guy on the prowl, Russell. As they find out, the often confusing stages of a relationship can seem like being on a roller coaster. People can describe the ride to you, but to really know what it's like you have to experience it for yourself.",https://image.tmdb.org/t/p/original/fLpcVz9020H1gGmK23PW5UpCNtd.jpg,7.2,35,
2004-01-08,3531,The Celebrity Apprentice,['US'],en,"The ultimate sixteen-week job interview where eighteen Americans compete in a series of rigorous business tasks, many of which include prominent Fortune 500 companies and require street smarts and intelligence to conquer, in order to show the boss that they are the best candidate for his companies. In each episode, the losing team is sent to the boardroom where they are judged on their performance in the task. One person is fired and sent home.",https://image.tmdb.org/t/p/original/2iVTag30OjNfVh69hojqFD4BR1G.jpg,5.3,10764,
2010-09-03,31499,Fish Hooks,['US'],en,"This inventive animated comedy series, set inside a giant fish tank in Bud's Pet Shop, presents high school life as seen through the eyes of three BFFs (best fish friends), Bea, Milo and Oscar. Together they experience the typical life challenges and triumphs, including friendship, dating and sports, along with more atypical situations such as giant lobster attacks and, with the use of special land suits, school field trips to the hamster cages. The series was created by children's book illustrator Noah Z. Jones and features a notable voice cast. It's produced using an innovative mixture of digital animation and photo collage",https://image.tmdb.org/t/p/original/gkmlFc6kE2djINsy2RWGVHlex73.jpg,6.5,16,35
1986-09-29,712,Designing Women,['US'],en,"Julia Sugarbaker, Mary Jo Shively, Charlene Frazier-Stillfield and Suzanne Sugarbaker are associates at their design firm, Sugarbaker and Associates. Julia is the owner and is very outspoken and strong-willed. Mary Jo is a divorced single-parent whom is just as strong-willed as Julia, but isn't as self-confident. Charlene is the naive and trusting farm girl from Poplar Bluff, Missouri. Suzanne is the self-centered ex-beauty queen whom has a number of wealthy ex-husbands.",https://image.tmdb.org/t/p/original/pqhes4TGTDj9zMg9agrADKo8RnL.jpg,6.6,35,
2008-09-03,1409,Sons of Anarchy,['US'],en,"An adrenalized drama with darkly comedic undertones that explores a notorious outlaw motorcycle club’s (MC) desire to protect its livelihood while ensuring that their simple, sheltered town of Charming, California remains exactly that, charming. The MC must confront threats from drug dealers, corporate developers, and overzealous law officers. Behind the MC’s familial lifestyle and legally thriving automotive shop is a ruthless and illegal arms business driven by the seduction of money, power, and blood.",https://image.tmdb.org/t/p/original/yPLkf4EiCkR0NOvMfmpHMA2zfN3.jpg,8.4,80,18
1999-09-22,688,The West Wing,['US'],en,The West Wing provides a glimpse into presidential politics in the nation's capital as it tells the stories of the members of a fictional presidential administration. These interesting characters have humor and dedication that touches the heart while the politics that they discuss touch on everyday life.,https://image.tmdb.org/t/p/original/yqDWr5NAE7m1IWrygYwLyEB6pN0.jpg,8.3,18,
2012-04-05,39269,Scandal,['US'],en,"Everyone has secrets and Olivia Pope has dedicated her life to protecting and defending the public images of the elite by keeping those secrets under wraps. Pope and her team are at the top of their game when it comes to getting the job done for their clients, but it becomes apparent that these ""gladiators in suits,"" who specialize in fixing the lives of other people, have trouble fixing those closest at hand -- their own.",https://image.tmdb.org/t/p/original/4XmF8PMSqtHCGNoL15oHbjr5ZuO.jpg,7.1,18,
2014-01-11,61865,When Calls the Heart,['US'],en,"Elizabeth Thatcher, a young school teacher from a wealthy Eastern family, migrates from the big city to teach school in a small coal mining town in the west.",https://image.tmdb.org/t/p/original/bPjZGRnQvJ3L2y2Caae89Rdh6dx.jpg,8.4,18,37
2001-11-06,1973,24,['US'],en,"Counterterrorism agent Jack Bauer fights the bad guys of the world, a day at a time. With each week's episode unfolding in real-time, ""24"" covers a single day in the life of Bauer each season.",https://image.tmdb.org/t/p/original/iq6yrZ5LEDXf1ArCOYLq8PIUBpV.jpg,7.8,10759,18
2015-02-04,61692,Fresh Off the Boat,['US'],en,"A '90s-set single-camera comedy about a hip-hop-loving Asian kid growing up in suburban Orlando, being raised by an immigrant father obsessed with all things American and an immigrant mother often bewildered by white culture.",https://image.tmdb.org/t/p/original/pl9goLDKE5wG7JgMikAKimCmApx.jpg,7.2,35,
1996-09-06,4303,Superman: The Animated Series,['US'],en,"Superman, an incredibly powerful alien from the planet Krypton, defends Metropolis from supercriminals. Superman hides his identity behind the glasses of Clark Kent; a mild-mannered reporter for the newspaper the Daily Planet. At the Daily Planet Superman works with fellow reporter Lois Lane and photographer Jimmy Olsen.",https://image.tmdb.org/t/p/original/7lhG7XSz0VkbUtXoXtUVdjDrUx6.jpg,7.6,16,10759
2012-10-10,44549,Nashville,['US'],en,"Rayna Jaymes and Juliette Barnes face personal and professional challenges as they navigate their paths as artists and individuals. Surrounding them, and often complicating their lives, are their family, friends and, in some cases, lovers, as well as the up-and-coming performers and songwriters trying to get ahead in the business.",https://image.tmdb.org/t/p/original/roRHLyfhx231KKOibZ9BCB3uIKz.jpg,6.6,18,
2014-04-15,60622,Fargo,['US'],en,"A close-knit anthology series dealing with stories involving malice, violence and murder based in and around Minnesota.",https://image.tmdb.org/t/p/original/6U9CPeD8obHzweikFhiLhpc7YBT.jpg,8.3,80,18
1948-10-03,10809,The Philco Television Playhouse,['US'],en,"The Philco Television Playhouse is an American anthology series that was broadcast live on NBC from 1948 to 1955. Produced by Fred Coe, the series was sponsored by Philco. It was one of the most respected dramatic shows of the Golden Age of Television, winning a 1954 Peabody Award and receiving eight Emmy nominations between 1951 and 1956.",https://image.tmdb.org/t/p/original/nnsKNCd14JjRTnaz6OZh4sQoNV6.jpg,5.3,18,
1970-12-16,4318,Night Gallery,['US'],en,"Rod Serling narrates an anthology of fantasy, horror and sci-fi stories from a set resembling a macabre museum. A chilling work of art serves as the connective link between the stories.",https://image.tmdb.org/t/p/original/9HwOgv29Ab5aSxB7YRH9txouvD1.jpg,7.9,18,9648
1993-04-21,3772,"Walker, Texas Ranger",['US'],en,"Modern-day Texas Ranger, Cordell Walker's independent crime-solving methods have their roots in the rugged traditions of the Old West. Walker's closest friend is former Ranger, C.D. Parker, who retired after a knee injury, and now owns ""C.D.'s,"" a Country/Western saloon/restaurant. Rookie Ranger, James ""Jimmy"" Trivette is an ex-football player who bases his crime-solving methods on reason and uses computers and cellular phones. Alex Cahill is the Assistant DA who shares a mutual attraction with Walker, but often disagrees with his unorthodox approach to law enforcement.",https://image.tmdb.org/t/p/original/lldKpGEOlHJXMkb1pi7s7xCExmX.jpg,7.0,10759,18
1994-09-21,2243,Touched by an Angel,['US'],en,"Monica, an angel, is tasked with bringing guidance and messages from God to various people who are at a crossroads in their lives.",https://image.tmdb.org/t/p/original/jiSv0xNx6MGhAFfv05Ov7DgDELJ.jpg,7.4,10765,18
1989-02-28,2455,Coach,['US'],en,"Hayden Fox, the curmudgeonly coach of Minnesota State University's Screaming Eagles football team, tries to navigate his way through the sports world, fatherhood and family life without dropping the ball.",https://image.tmdb.org/t/p/original/8s1OJ3wtmDlEFcLoaTY82UnakXi.jpg,6.9,35,
2006-09-25,1639,Heroes,['US'],en,Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.,https://image.tmdb.org/t/p/original/A7yZWi2RNBhKWCWzwsQGI6bqY6H.jpg,7.5,10765,18
2008-01-24,12786,Murdoch Mysteries,['CA'],en,"A Victorian-era Toronto detective uses then-cutting edge forensic techniques to solve crimes, with the assistance of a female coroner who is also struggling for recognition in the face of tradition, based on the books by Maureen Jennings.",https://image.tmdb.org/t/p/original/bGh2JSvl2Yb7wcK8UVVjW8Tjb5U.jpg,7.7,9648,18
