id,original_language,overview,poster_path,release_date,title,vote_average,genre_1,genre_2
262500,en,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,https://image.tmdb.org/t/p/original/dP5Fb6YRfzmCQtRbHOr2kO7tJW9.jpg,2015-03-18,Insurgent,6.4,28,12
10867,it,"During WWII, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town.",https://image.tmdb.org/t/p/original/3OyQTl0IGkbnjDxd3MhztfPE34g.jpg,2000-03-16,Malena,7.4,18,
814776,en,Unpopular best friends PJ and Josie start a high school self-defense club to meet girls and lose their virginity. They soon find themselves in over their heads when the most popular students start beating each other up in the name of self-defense.,https://image.tmdb.org/t/p/original/jeyTQrNEpyE1LZIgVlswYh3sc34.jpg,2023-08-25,Bottoms,6.8,35,
638974,en,"After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",https://image.tmdb.org/t/p/original/s1VzVhXlqsevi8zeCMG9A16nEUf.jpg,2023-03-28,Murder Mystery 2,6.5,35,80
50124,it,"The story takes place in northern Italy in the 1950's. Lola and Masetto are about to get married. Masetto wants to keep Lola as a virgin until they are married. But Lola is impatient to remain in chastity until the wedding night. She wants to be sure that Masetto is a good lover, before she commits herself into marriage. She does everything to trick Masetto into breaking the moral tradition.",https://image.tmdb.org/t/p/original/n691GdFEMP3bBZ3SvLxFD2paAOz.jpg,1998-06-01,Frivolous Lola,5.0,35,10749
912283,en,"An autistic boy and his father who returns from war with PTSD help each other find peace with the help of martial arts and music. As a man, Rob also learns to follow his heart when he finds a woman who loves him just as he is.",https://image.tmdb.org/t/p/original/nc4CbL8XkCikMZdLUkfn71L0sd1.jpg,2021-12-06,We Too Together,7.1,18,10749
385128,en,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,https://image.tmdb.org/t/p/original/bOFaAXmWWXC3Rbv4u4uM9ZSzRXP.jpg,2021-05-19,F9,7.1,28,12
49046,de,"Paul Baumer and his friends Albert and Muller, egged on by romantic dreams of heroism, voluntarily enlist in the German army. Full of excitement and patriotic fervour, the boys enthusiastically march into a war they believe in. But once on the Western Front, they discover the soul-destroying horror of World War I.",https://image.tmdb.org/t/p/original/2IRjbi9cADuDMKmHdLK7LaqQDKA.jpg,2022-10-07,All Quiet on the Western Front,7.7,18,10752
615173,ko,"A girl wakes up in a huge secret laboratory, then accidentally meets another girl who is trying to protect her house from a gang. The mystery girl overthrows the gang with her unexpected powers, and laboratory staff set out to find her.",https://image.tmdb.org/t/p/original/icQM4lMTEUVYPrSOV3BH9LZjvmY.jpg,2022-06-15,The Witch: Part 2. The Other One,7.3,28,9648
564,en,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,https://image.tmdb.org/t/p/original/yhIsVvcUm7QxzLfT6HW2wLf5ajY.jpg,1999-04-16,The Mummy,6.9,12,28
93456,en,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,https://image.tmdb.org/t/p/original/5Fh4NdoEnCjCK9wLjdJ9DJNFl2b.jpg,2013-06-26,Despicable Me 2,6.9,16,35
398818,en,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",https://image.tmdb.org/t/p/original/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,2017-09-01,Call Me by Your Name,8.2,10749,18
209112,en,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",https://image.tmdb.org/t/p/original/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,2016-03-23,Batman v Superman: Dawn of Justice,6.0,28,12
550988,en,"A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined to be the guy who saves his world his way before it's too late.",https://image.tmdb.org/t/p/original/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg,2021-08-11,Free Guy,7.5,35,12
283995,en,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,https://image.tmdb.org/t/p/original/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,2017-04-19,Guardians of the Galaxy Vol. 2,7.6,878,12
2322,en,"When shadowy U.S. intelligence agents blackmail a reformed computer hacker and his eccentric team of security experts into stealing a code-breaking 'black box' from a Soviet-funded genius, they uncover a bigger conspiracy. Now, he and his 'sneakers' must save themselves and the world economy by retrieving the box from their blackmailers.",https://image.tmdb.org/t/p/original/l2pIGwCvpZEpBuMb55YBl6A04Jv.jpg,1992-09-09,Sneakers,6.9,35,80
166426,en,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.",https://image.tmdb.org/t/p/original/qwoGfcg6YUS55nUweKGujHE54Wy.jpg,2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,12,28
284054,en,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",https://image.tmdb.org/t/p/original/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,2018-02-13,Black Panther,7.4,28,12
98,en,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",https://image.tmdb.org/t/p/original/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,2000-05-04,Gladiator,8.2,28,18
639135,en,"A psychological thriller set against the iconic backdrop of London’s Notting Hill. A falling star auditions for her dream role, but the part is awarded to a more beautiful up-and-comer by the name of Alex Beyer. Unsure of who or what is tormenting her, Alex's sense of reality begins to spiral out of control threatening not only Alex’s sanity but the lives of all those around her.",https://image.tmdb.org/t/p/original/fB4pe036vKvnEVdnrGqhfA44BiG.jpg,2020-10-11,Eve,6.5,18,53
